time;car_heading;bearing_to_goal_north;bearing_to_goal_front_of_car;latitude;longitude;distance
23070;89.999997;132.583017;42.583019;43.610497;1.431293;18.819173
23090;89.999997;132.583017;42.583019;43.610497;1.431293;18.819173
23120;89.999997;132.583017;42.583019;43.610497;1.431293;18.819173
23150;89.999998;132.583017;42.583019;43.610497;1.431293;18.819173
23180;89.999998;132.801411;42.801414;43.610497;1.431294;18.741576
23200;89.999998;132.801411;42.801414;43.610497;1.431294;18.741576
23220;89.999998;132.801411;42.801414;43.610497;1.431294;18.741576
23250;89.999998;132.801411;42.801414;43.610497;1.431294;18.741576
23270;89.999997;133.021619;43.021621;43.610497;1.431296;18.664254
23290;89.999997;133.021619;43.021621;43.610497;1.431296;18.664254
23310;89.999997;133.021619;43.021621;43.610497;1.431296;18.664254
23340;89.999997;133.243655;43.243658;43.610497;1.431297;18.587209
23370;89.999997;133.243655;43.243658;43.610497;1.431297;18.587209
23390;89.999997;133.243655;43.243658;43.610497;1.431297;18.587209
23410;89.999997;133.243655;43.243658;43.610497;1.431297;18.587209
23450;89.999998;133.406294;43.406296;43.610497;1.431298;18.531353
23470;89.999998;133.406294;43.406296;43.610497;1.431298;18.531353
23500;89.999998;133.406294;43.406296;43.610497;1.431298;18.531353
23520;89.999998;133.406294;43.406296;43.610497;1.431298;18.531353
23550;89.999998;133.406294;43.406296;43.610497;1.431298;18.531353
23570;89.999998;133.569915;43.569917;43.610497;1.431299;18.475647
23590;89.999998;133.569915;43.569917;43.610497;1.431299;18.475647
23620;89.999998;133.569915;43.569917;43.610497;1.431299;18.475647
